ID,n_in,n_out,diag_only,meta,meta_rate,penalty,init_alpha,init_D,w_gen,init_lambda,final_lambda,tau_lambda
1,22,1,0,0,0.1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
2,22,1,1,0,0.1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
3,22,1,0,1,0.1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
4,22,1,1,1,0.1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
5,22,1,0,0,1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
6,22,1,1,0,1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
7,22,1,0,1,1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
8,22,1,1,1,1,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
9,22,1,0,0,10,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
10,22,1,1,0,10,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
11,22,1,0,1,10,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
12,22,1,1,1,10,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
13,22,1,0,0,100,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
14,22,1,1,0,100,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
15,22,1,0,1,100,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
16,22,1,1,1,100,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
17,22,1,0,0,1000,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
18,22,1,1,0,1000,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
19,22,1,0,1,1000,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
20,22,1,1,1,1000,0.0001,0.1,0.1,0.0001,0.99,0.99,0.99
21,22,1,0,0,0.1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
22,22,1,1,0,0.1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
23,22,1,0,1,0.1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
24,22,1,1,1,0.1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
25,22,1,0,0,1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
26,22,1,1,0,1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
27,22,1,0,1,1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
28,22,1,1,1,1,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
29,22,1,0,0,10,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
30,22,1,1,0,10,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
31,22,1,0,1,10,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
32,22,1,1,1,10,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
33,22,1,0,0,100,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
34,22,1,1,0,100,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
35,22,1,0,1,100,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
36,22,1,1,1,100,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
37,22,1,0,0,1000,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
38,22,1,1,0,1000,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
39,22,1,0,1,1000,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
40,22,1,1,1,1000,1e-05,0.1,0.1,0.0001,0.99,0.99,0.99
